ApplicantName,Callsign,FileNumber,Filing State,Red Light,AppType,Accepted For Filing PN,Class Of Earth Station,SiteID,AntennaID,Quantity,SiteStreet1,SiteStreet2,SiteCity,SiteCounty,Site State,Site Zip Code,LatDeg,LatMin,LatSec,LonDeg,LonMin,LonSec,latitude,longitude,marker-symbol,
Advanced Satellite Systems Inc.,E181163,SESREG2018062701897,current,,REG,,FES,1,Ant 3     ,1,1830 Old Mission Rod,(Magnolia Village),Edgwater,Volusia,FL,32032,28,57,47.77,80,56,19.92,28.9632694444444,-80.9388666666667,communications-tower-11,
Advanced Satellite Systems Inc.,E181163,SESREG2018062701897,current,,REG,,FES,1,Ant 4     ,1,1830 Old Mission Rod,(Magnolia Village),Edgwater,Volusia,FL,32032,28,57,47.77,80,56,19.92,28.9632694444444,-80.9388666666667,communications-tower-11,
Advanced Satellite Systems Inc.,E181164,SESREG2018062701898,current,,REG,,FES,1,Ant 2     ,1,1 Oceans West Blvd.,,Daytona Beach Shores,Volusia,FL,32118,29,10,5.06,80,58,49.84,29.1680722222222,-80.9805111111111,communications-tower-11,
Advanced Satellite Systems Inc.,E181164,SESREG2018062701898,current,,REG,,FES,1,Ant 3     ,1,1 Oceans West Blvd.,,Daytona Beach Shores,Volusia,FL,32118,29,10,5.06,80,58,49.84,29.1680722222222,-80.9805111111111,communications-tower-11,
Advanced Satellite Systems Inc.,E181164,SESREG2018062701898,current,,REG,,FES,1,Ant 4     ,1,1 Oceans West Blvd.,,Daytona Beach Shores,Volusia,FL,32118,29,10,5.06,80,58,49.84,29.1680722222222,-80.9805111111111,communications-tower-11,
Advanced Satellite Systems Inc.,E181164,SESREG2018062701898,current,,REG,,FES,1,Sat 1     ,1,1 Oceans West Blvd.,,Daytona Beach Shores,Volusia,FL,32118,29,10,5.06,80,58,49.84,29.1680722222222,-80.9805111111111,communications-tower-11,
Advanced Satellite Systems Inc.,E181175,SESREG2018062701914,current,,REG,,FES,1,Ant 2     ,1,3600 S Oceanshore Blvd.,,Flagler Beach,Flagler,FL,32136,29,25,49.36,81,6,17.26,29.4303777777778,-81.1047944444444,communications-tower-11,
Advanced Satellite Systems Inc.,E181175,SESREG2018062701914,current,,REG,,FES,1,Ant 3     ,1,3600 S Oceanshore Blvd.,,Flagler Beach,Flagler,FL,32136,29,25,49.36,81,6,17.26,29.4303777777778,-81.1047944444444,communications-tower-11,
Advanced Satellite Systems Inc.,E181175,SESREG2018062701914,current,,REG,,FES,1,Ant 4     ,1,3600 S Oceanshore Blvd.,,Flagler Beach,Flagler,FL,32136,29,25,49.36,81,6,17.26,29.4303777777778,-81.1047944444444,communications-tower-11,
Advanced Satellite Systems Inc.,E181175,SESREG2018062701914,current,,REG,,FES,1,ant1      ,4,3600 S Oceanshore Blvd.,,Flagler Beach,Flagler,FL,32136,29,25,49.36,81,6,17.26,29.4303777777778,-81.1047944444444,communications-tower-11,
Advanced Satellite Systems Inc.,E181176,SESREG2018062701915,current,,REG,,FES,1,Ant 1     ,1,935 N. Halifax ave.,(Bayshore),Ormond Beach,Volusia,FL,32118,29,14,21.27,81,1,21.28,29.2392416666667,-81.0225777777778,communications-tower-11,
Advanced Satellite Systems Inc.,E181176,SESREG2018062701915,current,,REG,,FES,1,Ant 2     ,1,935 N. Halifax ave.,(Bayshore),Ormond Beach,Volusia,FL,32118,29,14,21.27,81,1,21.28,29.2392416666667,-81.0225777777778,communications-tower-11,
Advanced Satellite Systems Inc.,E181176,SESREG2018062701915,current,,REG,,FES,1,Ant 3     ,1,935 N. Halifax ave.,(Bayshore),Ormond Beach,Volusia,FL,32118,29,14,21.27,81,1,21.28,29.2392416666667,-81.0225777777778,communications-tower-11,
Advanced Satellite Systems Inc.,E181176,SESREG2018062701915,current,,REG,,FES,1,Ant 4     ,1,935 N. Halifax ave.,(Bayshore),Ormond Beach,Volusia,FL,32118,29,14,21.27,81,1,21.28,29.2392416666667,-81.0225777777778,communications-tower-11,
Advanced Satellite Systems Inc.,E181177,SESREG2018062701916,current,,REG,,FES,1,Ant 1     ,1,1107 N US Hwy 1,(Office Headend 32174),Ormond beach,volusia,FL,32174,29,18,47.77,81,6,7.556,29.3132694444444,-81.1020988888889,communications-tower-11,
Advanced Satellite Systems Inc.,E181177,SESREG2018062701916,current,,REG,,FES,1,ANT 2     ,1,1107 N US Hwy 1,(Office Headend 32174),Ormond beach,volusia,FL,32174,29,18,47.77,81,6,7.556,29.3132694444444,-81.1020988888889,communications-tower-11,
Advanced Satellite Systems Inc.,E181177,SESREG2018062701916,current,,REG,,FES,1,ANT 3     ,1,1107 N US Hwy 1,(Office Headend 32174),Ormond beach,volusia,FL,32174,29,18,47.77,81,6,7.556,29.3132694444444,-81.1020988888889,communications-tower-11,
Advanced Satellite Systems Inc.,E181177,SESREG2018062701916,current,,REG,,FES,1,Ant 4     ,1,1107 N US Hwy 1,(Office Headend 32174),Ormond beach,volusia,FL,32174,29,18,47.77,81,6,7.556,29.3132694444444,-81.1020988888889,communications-tower-11,
Advanced Satellite Systems Inc.,E181190,SESREG2018062701930,current,,REG,,FES,1,Ant 1     ,1,1335 Fleming Ave.,(Holiday Village O.B.),Ormond Beach,Volusia,FL,32174,29,15,30.21,81,4,57.13,29.2583916666667,-81.0825361111111,communications-tower-11,
Advanced Satellite Systems Inc.,E181190,SESREG2018062701930,current,,REG,,FES,1,Ant 2     ,1,1335 Fleming Ave.,(Holiday Village O.B.),Ormond Beach,Volusia,FL,32174,29,15,30.21,81,4,57.13,29.2583916666667,-81.0825361111111,communications-tower-11,
Advanced Satellite Systems Inc.,E181190,SESREG2018062701930,current,,REG,,FES,1,Ant 3     ,1,1335 Fleming Ave.,(Holiday Village O.B.),Ormond Beach,Volusia,FL,32174,29,15,30.21,81,4,57.13,29.2583916666667,-81.0825361111111,communications-tower-11,
Advanced Satellite Systems Inc.,E181190,SESREG2018062701930,current,,REG,,FES,1,Ant 4     ,1,1335 Fleming Ave.,(Holiday Village O.B.),Ormond Beach,Volusia,FL,32174,29,15,30.21,81,4,57.13,29.2583916666667,-81.0825361111111,communications-tower-11,
"Advanced Telephone Systems, Inc.",E181576,SESREG2018071702461,current,,REG,,FES,1,1,1,75 Main St,,Hickory,Washington,PA,15340,40,17,57.3,80,18,24,40.29925,-80.3066666666667,communications-tower-11,
ADX Communications of Escambia,E180788,SESREG2018061101393,current,,REG,,FES,1,3.0M.     ,2,7251 Plantation Rd,(Plantation),Pensacola,Escambia,FL,32504,30,30,9.7,87,13,39.9,30.5026944444444,-87.22775,communications-tower-11,
ADX Communications of Escambia,E180796,SESREG2018061101401,current,,REG,,FES,1,1,1,27430 THUNDER RD,(WYCT Transmitter),Robertsdale,Baldwin,AL,36567,30,37,30.7,87,26,38.9,30.6251944444444,-87.4441388888889,communications-tower-11,
ADX Communications of Escambia,E180797,SESREG2018061101402,current,,REG,,FES,1,1,1,2400 North Palafox St,(WNRP Transmitter),Pensacola,Escambia,FL,32501,30,26,12.7,87,13,12.9,30.4368611111111,-87.22025,communications-tower-11,
ADX Communications of Escambia,E180799,SESREG2018061101407,current,,REG,,FES,1,Ant1      ,1,7179 Printers Alley,,Milton,Santa Rosa,FL,32583,30,37,12.7,87,1,12.9,30.6201944444444,-87.02025,communications-tower-11,
"Ael Suhr Enterprises, Inc.",E200890,SESREG2018101606203,current,,REG,,FES,KWAY Studio,DH 3.7M   ,1,110 29th Ave SW,,Waverly,Bremer,IA,50677,42,42,3.3,92,28,22.1,42.7009166666667,-92.4728055555556,communications-tower-11,
"Agape Broadcasters, Inc.",E200983,SESREG2018101606318,current,,REG,,FES,Site 1,ANT1      ,1,110 West Third Street,,Crowley,Acadia,LA,70526,30,12,42,92,22,21.4,30.2116666666667,-92.3726111111111,communications-tower-11,
"Agape Broadcasters, Inc.",E200996,SESREG2018101606332,current,,REG,,FES,Site 1,ANT 2     ,1,,1018 Eraste Landry Road,Lafayette,LA,LA,70506,30,13,28.6,92,3,13.5,30.2246111111111,-92.05375,communications-tower-11,
"Agape Broadcasters, Inc.",E200996,SESREG2018101606332,current,,REG,,FES,Site 1,ANT1      ,1,,1018 Eraste Landry Road,Lafayette,LA,LA,70506,30,13,28.6,92,3,13.5,30.2246111111111,-92.05375,communications-tower-11,
"AGM - Nevada, L.L.C.",E200951,SESREG2018101606284,current,,REG,,FES,AGM ABQ,ANT1      ,1,8009 Marble Ave NE,8009 Marble Ave NE,Albuquerque,BERNALILLO,MN,87110,35,5,21.8,106,33,25.2,35.0893888888889,-106.557,communications-tower-11,
"AGM California, Inc.",E201831,SESREG2018103007238,current,,REG,,FES,AGM BAK,Ant 1     ,1,1400 Easton Drive,Suite 133,Bakersfield,Kern,CA,93309,35,22,11.7,119,2,39.5,35.3699166666667,-119.044305555556,communications-tower-11,
"AGM California, Inc.",E201851,SESREG2018103007258,current,,REG,,FES,AGM SM,ANT1      ,1,2325 Skyway Drive,Suite J,Santa Maria,Santa Barbara,CA,93455,34,55,6.6,120,27,17.5,34.9185,-120.454861111111,communications-tower-11,
"AGM California, Inc.",E201854,SESREG2018103007259,current,,REG,,FES,AGM SLO,ANT 1     ,1,3620 Sacramento Drive,Suite 204,San Luis Obispo,San Luis Obispo,CA,93401,35,15,19.1,120,38,27.8,35.2553055555556,-120.641055555556,communications-tower-11,
"Agricultural Weather Information Service, Inc",E181101,SESREG2018062101833,current,,REG,,FES,1,AWIS      ,1,1735 E University Dr. Suite 101,(AWIS),Auburn,Lee,AL,36830,33,36,48.7,85,26,54.83,33.6135277777778,-85.4485638888889,communications-tower-11,
"AirWaves, Inc",E191553,SESREG2018101005172,current,,REG,,FES,1,Ogden KTI ,1,453 Simeron Dr.,,Ogden,Cache,UT,84404,41,15,17.25,111,56,22.83,41.2547916666667,-111.939675,communications-tower-11,
"AirWaves, Inc",E191565,SESREG2018101005184,current,,REG,,FES,Riverdale UT,Riverdale ,1,5540 S 1700 W,,Riverdale,Cache,UT,84405,41,9,57.91,112,0,56.38,41.1660861111111,-112.015661111111,communications-tower-11,
"AirWaves, Inc",E200009,SESREG2018101005302,current,,REG,,FES,Logan UT,Logan     ,2,3006 North Main,,Logan,Cache,UT,84341,41,47,14.25,111,49,58.56,41.7872916666667,-111.832933333333,communications-tower-11,
"Alabama 810, LLC",E181884,SESREG2018092603065,current,,REG,,FES,1,A         ,1,188 Broadcast Blvd,(WCKA-AM),Jacksonville,Calhoun,AL,36265,33,50,56.63,85,45,44.22,33.8490638888889,-85.7622833333333,communications-tower-11,
"Alabama 810, LLC",E200825,SESREG2018101606135,current,,REG,,FES,WCKF Studios,Sat Ant 1 ,1,518 Mountain View Rd,,Ashland,Clay,AL,36251,33,19,15,85,51,39.5,33.3208333333333,-85.8609722222222,communications-tower-11,
Alabama Broadcasting Partners,E200143,SESREG2018101105438,current,,REG,,FES,Studio Address,Ant 1     ,4,3251 Harrison Road,,Montgomery,Montgomery,AL,36109,32,22,4.1,86,15,42,32.3678055555556,-86.2616666666667,communications-tower-11,
Alabama Broadcasting Partners,E200143,SESREG2018101105438,current,,REG,,FES,Studio Address,Ant 2     ,5,3251 Harrison Road,,Montgomery,Montgomery,AL,36109,32,22,4.1,86,15,42,32.3678055555556,-86.2616666666667,communications-tower-11,
"Alabama Christian Radio, Inc.",E200428,SESREG2018101505739,current,,REG,,FES,WELL Studio,ANT 1     ,1,2101 Executive Park Drive,,Opelika,Lee,AL,36801,32,37,39.9,85,26,14.9,32.62775,-85.4374722222222,communications-tower-11,
"Alabama Media, LLC",E201399,SESREG2018101706776,current,,REG,,FES,Dothan,Ant 1     ,1,285 N. Foster St,,Dothan,Houston,AL,36303,31,13,34.75,85,23,33.69,31.2263194444444,-85.3926916666667,communications-tower-11,
"Alabama TV License Company, LLC",E060054,SESMOD2007012200127,current,,MOD,,FES,1,1,1,1000 MONTE SANO BLVD (WAAY),,HUNTSVILLE,MADISON,AL,35801,34,44,16.3,86,32,0.9,34.7378611111111,-86.5335833333333,communications-tower-11,
"Alabama TV License Company, LLC",E182012,SESREG2018080903439,current,,REG,,FES,1,1,1,1000 Monte Sano Blvd,,Huntsville,,AL,35801,34,44,14.6,86,31,56.6,34.7373888888889,-86.5323888888889,communications-tower-11,
"Alabama TV License Company, LLC",E182012,SESREG2018080903439,current,,REG,,FES,1,2,1,1000 Monte Sano Blvd,,Huntsville,,AL,35801,34,44,14.6,86,31,56.6,34.7373888888889,-86.5323888888889,communications-tower-11,
"Alabama TV License Company, LLC",E182012,SESREG2018080903439,current,,REG,,FES,1,3,1,1000 Monte Sano Blvd,,Huntsville,,AL,35801,34,44,14.6,86,31,56.6,34.7373888888889,-86.5323888888889,communications-tower-11,
"Alamo Navajo School Board, Incorporated",E180877,SESREG2018061401505,current,,REG,,FES,1,3.7PR     ,1,Alamo NM 30 miles,North of Magdalena NM,Alamo Community,Socorro,NM,87825,34,24,54.3,107,30,8.8,34.4150833333333,-107.502444444444,communications-tower-11,
Alan J White,E181480,SESREG2018072302364,current,,REG,,FES,1,TBD       ,,1633 North Radio Station Road,,Preston,Franklin,ID,83263,42,4,28,111,30,28.7,42.0744444444444,-111.507972222222,communications-tower-11,
Albert Broadcasting II LLC,E181124,SESREG2018062601852,current,,REG,,FES,1,1,1,81 East Mohawk Drive,,Tomahawk,Lincoln,WI,54487,45,29,26.36,89,43,37.96,45.4906555555556,-89.7272111111111,communications-tower-11,
Algona Municipal Utilities,E201723,SESREG2018102407134,current,,REG,,FES,AMU C-Band,AMU1      ,1,12 East North Street,,Algona,Kossuth,IA,50511,43,4,13.58,94,14,13.92,43.0704388888889,-94.2372,communications-tower-11,
Algona Municipal Utilities,E201723,SESREG2018102407134,current,,REG,,FES,AMU C-Band,AMU2      ,1,12 East North Street,,Algona,Kossuth,IA,50511,43,4,13.58,94,14,13.92,43.0704388888889,-94.2372,communications-tower-11,
"All Classical Public Media, Inc.",E190361,SESREG2018081804056,current,,REG,,FES,1,1,1,"211 SE Caruthers, Suite 200",,Portland,Multnomah,OR,97214,45,30,22.1,122,39,50.5,45.5061388888889,-122.664027777778,communications-tower-11,
All Mobile Video Inc,E5740,SESRWL2018052200790,current,,RWL,,FES,1,10m       ,2,27 RANDOLPH STREET,,CARTERET,MIDDLESEX,NJ,7008,40,34,49,74,13,0,40.5802777777778,-74.2166666666667,communications-tower-11,
All Mobile Video Inc,E5740,SESRWL2018052200790,current,,RWL,,FES,1,12m       ,1,27 RANDOLPH STREET,,CARTERET,MIDDLESEX,NJ,7008,40,34,49,74,13,0,40.5802777777778,-74.2166666666667,communications-tower-11,
All Mobile Video Inc,E5740,SESRWL2018052200790,current,,RWL,,FES,1,9.2m      ,2,27 RANDOLPH STREET,,CARTERET,MIDDLESEX,NJ,7008,40,34,49,74,13,0,40.5802777777778,-74.2166666666667,communications-tower-11,
All Mobile Video Inc,E860101,SESRWL2010011900084,current,,RWL,,FES,1,1,1,27 RANDOLPH STREET,,CARTERET,MIDDLESEX,NJ,,40,34,49,74,13,0,40.5802777777778,-74.2166666666667,communications-tower-11,
All Mobile Video Inc,E950200,SESRWL2005110201687,current,,RWL,,FES,COM-13,COM-13/18 ,2,27 RANDOLPH STREET,,CARTERET,MIDDLESEX,NJ,7008,40,34,45.4,74,12,59.5,40.5792777777778,-74.2165277777778,communications-tower-11,
All Mobile Video Inc,E950361,SESRWL2006013100187,current,,RWL,,FES,1,1,1,27 RANDOLPH STREET,,CARTERET,MIDDLESEX,NJ,7008,40,34,44.7,74,13,0.5,40.5790833333333,-74.2168055555556,communications-tower-11,
All Mobile Video Inc,E950361,SESRWL2006013100187,current,,RWL,,FES,1,COM-20    ,1,27 RANDOLPH STREET,,CARTERET,MIDDLESEX,NJ,7008,40,34,44.7,74,13,0.5,40.5790833333333,-74.2168055555556,communications-tower-11,
"All West/Utah, Inc.",E200600,SESREG2018101605910,current,,REG,,FES,Kamas - Simulsat5,1,1,50 West 100 North,,Kamas,Summit,UT,84036,40,38,42,111,16,53,40.645,-111.281388888889,communications-tower-11,
"Allen Holdings, Inc. d/b/a Allen Communications",E000232,SESMOD2019061900790,current,,MOD,,FES,1,1,1,1363 Z Street,Broadcast Center,March Air Res. Base,Riverside,CA,92518,33,54,21.7,117,14,57.8,33.9060277777778,-117.249388888889,communications-tower-11,
"Allen Holdings, Inc. d/b/a Allen Communications",E000232,SESMOD2019061900790,current,,MOD,,FES,1,2,1,1363 Z Street,Broadcast Center,March Air Res. Base,Riverside,CA,92518,33,54,21.7,117,14,57.8,33.9060277777778,-117.249388888889,communications-tower-11,
"Allen Holdings, Inc. d/b/a Allen Communications",E000232,SESMOD2019061900790,current,,MOD,,FES,1,3,2,1363 Z Street,Broadcast Center,March Air Res. Base,Riverside,CA,92518,33,54,21.7,117,14,57.8,33.9060277777778,-117.249388888889,communications-tower-11,
"Allen Holdings, Inc. d/b/a Allen Communications",E181671,SESREG2018073002609,current,,REG,,FES,1,1,1,10813 El Arco Drive,,Whittier,Los Angeles,CA,90603,33,56,7.9,117,59,47.7,33.9355277777778,-117.996583333333,communications-tower-11,
"Allen Holdings, Inc. d/b/a Allen Communications",E181672,SESREG2018073002610,current,,REG,,FES,1,1,1,10880 E Ave.,,Hesperia,San Bernadino,CA,92345,34,26,57.8,117,16,49.5,34.4493888888889,-117.280416666667,communications-tower-11,
"Allen Media Broadcasting Evansville, Inc.",E200001,SESREG2018101005294,current,,REG,,FES,WEVV-TV,Net TVRO  ,4,477 Carpenter,,Evansville,Vanderburgh,IN,47708,37,58,30.29,87,34,33.24,37.9750805555556,-87.5759,communications-tower-11,
"Allen's TV Cable Service, Inc.",E190579,SESREG2018101304252,current,,REG,,FES,1,1,2,Shaw Dr / Shaw St,,Morgan City,St Mary,LA,70380,29,43,15.1,91,12,17.9,29.7208611111111,-91.2049722222222,communications-tower-11,
"Allen's TV Cable Service, Inc.",E190579,SESREG2018101304252,current,,REG,,FES,1,2,1,Shaw Dr / Shaw St,,Morgan City,St Mary,LA,70380,29,43,15.1,91,12,17.9,29.7208611111111,-91.2049722222222,communications-tower-11,
"Allen's TV Cable Service, Inc.",E190579,SESREG2018101304252,current,,REG,,FES,1,3,3,Shaw Dr / Shaw St,,Morgan City,St Mary,LA,70380,29,43,15.1,91,12,17.9,29.7208611111111,-91.2049722222222,communications-tower-11,
"Allen's TV Cable Service, Inc.",E190579,SESREG2018101304252,current,,REG,,FES,1,4,1,Shaw Dr / Shaw St,,Morgan City,St Mary,LA,70380,29,43,15.1,91,12,17.9,29.7208611111111,-91.2049722222222,communications-tower-11,
"Allen's TV Cable Service, Inc.",E190579,SESREG2018101304252,current,,REG,,FES,1,5,2,Shaw Dr / Shaw St,,Morgan City,St Mary,LA,70380,29,43,15.1,91,12,17.9,29.7208611111111,-91.2049722222222,communications-tower-11,
"Allen's TV Cable Service, Inc.",E190579,SESREG2018101304252,current,,REG,,FES,1,6,1,Shaw Dr / Shaw St,,Morgan City,St Mary,LA,70380,29,43,15.1,91,12,17.9,29.7208611111111,-91.2049722222222,communications-tower-11,
"Allen's TV Cable Service, Inc.",E190579,SESREG2018101304252,current,,REG,,FES,2,1,2,1580 N I-49 Service Rd,,Grand Coteau,St Landry,LA,,30,24,49.3,92,3,13,30.4136944444444,-92.0536111111111,communications-tower-11,
"Allen's TV Cable Service, Inc.",E190579,SESREG2018101304252,current,,REG,,FES,2,2,1,1580 N I-49 Service Rd,,Grand Coteau,St Landry,LA,,30,24,49.3,92,3,13,30.4136944444444,-92.0536111111111,communications-tower-11,
"Allen's TV Cable Service, Inc.",E190579,SESREG2018101304252,current,,REG,,FES,2,3,2,1580 N I-49 Service Rd,,Grand Coteau,St Landry,LA,,30,24,49.3,92,3,13,30.4136944444444,-92.0536111111111,communications-tower-11,
"Allen's TV Cable Service, Inc.",E190579,SESREG2018101304252,current,,REG,,FES,2,4,1,1580 N I-49 Service Rd,,Grand Coteau,St Landry,LA,,30,24,49.3,92,3,13,30.4136944444444,-92.0536111111111,communications-tower-11,
"ALLO Communications, LLC",E181602,SESREG2018072002488,current,,REG,,FES,1,1,6,1710 East 20th Street,,Scottsbluff,Scottsbluff,NE,69361,41,51,57,103,38,28,41.8658333333333,-103.641111111111,communications-tower-11,
Alpha 3E Licensee LLC,E190009,SESREG2018100903626,current,,REG,,FES,1,AMC-18    ,1,200 N 10th,,Fort Dodge,Webster,IA,50501,42,30,27.87,94,11,9.03,42.5077416666667,-94.1858416666667,communications-tower-11,
Alpha 3E Licensee LLC,E190010,SESREG2018100903627,current,,REG,,FES,1,AMC-18    ,1,1633 W Main St,,Albert Lea,Freeborn,MN,56007,43,38,41.11,93,23,19.37,43.6447527777778,-93.3887138888889,communications-tower-11,
Alpha 3E Licensee LLC,E190011,SESREG2018100903628,current,,REG,,FES,1,AMC-18    ,1,18431 State Hwy 105,,Austin,Mower,MN,55912,43,37,20.2,92,59,24.35,43.6222777777778,-92.9900972222222,communications-tower-11,
